sku,name,brand,category,price,url,in_stock,description,manufacturer_part_number,upc,weight,custom_fields,image_url
CS6080-SR40004VZWW,"CS6080 Cordless: Companion Scanner, Inductive, Area Imager, Standard Range, Midnight Black, Vibration Motor | CS6080-SR40004VZWW",Zebra Technologies,1644,345.1,https://www.arrowheadphx.com/cs6080-cordless-companion-scanner-inductive-area-imager-standard-range-midnight-black-vibration-motor-cs6080-sr40004vzww/,True,"CS6080 Cordless: Companion Scanner, Inductive, Area Imager, Standard Range, Midnight Black, Vibration Motor",CS6080-SR40004VZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0001\\/cs60-photography-product-cordless-corded-combo-no-shadow.tif?im"": ""p\""}""}",
DS2208-SR00007ZZWW,"D22208: Area Imager, Standard Range, Corded, Twilight Black | DS2208-SR00007ZZWW",Zebra Technologies,1537,160.51,https://www.arrowheadphx.com/d22208-area-imager-standard-range-corded-twilight-black-ds2208-sr00007zzww/,True,"D22208: Area Imager, Standard Range, Corded, Twilight Black",DS2208-SR00007ZZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0001\\/ds2208_engine_up_novawhite.tif?im"": ""p\""}""}",
DS3608-SR00003VZWW,"Rugged, Area Imager, Standard Range, Corded, Industrial Green, Vibration Motor | DS3608-SR00003VZWW",Zebra Technologies,1516,595.07,https://www.arrowheadphx.com/rugged-area-imager-standard-range-corded-industrial-green-vibration-motor-ds3608-sr00003vzww/,True,"Rugged, Area Imager, Standard Range, Corded, Industrial Green, Vibration Motor",DS3608-SR00003VZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0002\\/ds3600-er-photo-product-cradle-and-non-300.jpg?im"": ""p\""}""}",
DS3678-SR0F003VZWW,"DS3678: Rugged, Area Imager, Standard Range, Cordless, Fips, Industrial Green, Vibration Motor | DS3678-SR0F003VZWW",Zebra Technologies,1516,743.5,https://www.arrowheadphx.com/ds3678-rugged-area-imager-standard-range-cordless-fips-industrial-green-vibration-motor-ds3678-sr0f003vzww/,True,"DS3678: Rugged, Area Imager, Standard Range, Cordless, Fips, Industrial Green, Vibration Motor",DS3678-SR0F003VZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0002\\/ds3600-er-photo-product-cradle-and-non-300.jpg?im"": ""p\""}""}",
DS4308-SR00007ZZWW,"DS4308 imager,st range,black",Zebra Technologies,,245.7,https://www.arrowheadphx.com/ds4308-imager-st-range-black/,False,"<p>DS4308 Scanner (Imager, Strange, Black)<br /><br />When customers are looking for extraordinary flexibility and performance in a handheld scanner, the next-generation scanning technology in the DS4308-SR/DL/HD delivers.</p>",DS4308-SR00007ZZWW,,0.55,,
DS8108-SR00007ZZWW,"DS8108: Area Imager, Standard Range, Corded, Twilight Black | DS8108-SR00007ZZWW",Zebra Technologies,1548,302.94,https://www.arrowheadphx.com/ds8108-area-imager-standard-range-corded-twilight-black-ds8108-sr00007zzww/,True,"DS8108: Area Imager, Standard Range, Corded, Twilight Black",DS8108-SR00007ZZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0001\\/ds8178sr_rf_down_twilightblack copy.png?im"": ""p\""}""}",
DS8178-SR0F007ZZWW,"DS8178: Area Imager, Standard Range, Cordless, Twilight Black | DS8178-SR0F007ZZWW",Zebra Technologies,1534,569.14,https://www.arrowheadphx.com/ds8178-area-imager-standard-range-cordless-twilight-black-ds8178-sr0f007zzww/,True,"DS8178: Area Imager, Standard Range, Cordless, Twilight Black",DS8178-SR0F007ZZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0001\\/ds8178sr_rf_down_twilightblack copy.png?im"": ""p\""}""}",
DS9308-SR00004ZZWW,"DS9308: PRESENTATION AREA IMAGER, STANDARD RANGE, CORDED, MIDNIGHT BLACK | DS9308-SR00004ZZWW",Zebra Technologies,1514,304.34,https://www.arrowheadphx.com/ds9308-presentation-area-imager-standard-range-corded-midnight-black-ds9308-sr00004zzww/,True,"DS9308: PRESENTATION AREA IMAGER, STANDARD RANGE, CORDED, MIDNIGHT BLACK",DS9308-SR00004ZZWW,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0001\\/ds9308-sr-photography-product-front-facing-shadow-black.tif?im"": ""p\""}""}",
EC300K-1SA2ANA,"EC30 LAN, GMS, SE2100, 4GB/32GB, 1-PACK, US, CANADA & PUERTO RICO| EC300K-1SA2ANA | EC300K-1SA2ANA",Zebra Technologies,2009,488.33,https://www.arrowheadphx.com/ec30-lan-gms-se2100-4gb-32gb-1-pack-us-canada-puerto-rico-ec300k-1sa2ana-ec300k-1sa2ana/,False,"EC30 LAN, GMS, SE2100, 4GB/32GB, 1-PACK, US, CANADA & PUERTO RICO| EC300K-1SA2ANA",EC300K-1SA2ANA,,3.0,,
EC500K-01D121-NA,"EC50 Android, 3Gb Ram/32Gb Flash, No Scan Engine, 5MP Front Camera, 13MP Rear Camera, Micro Sd, Gms, No I/O Connector, Us | EC500K-01D121-NA",Zebra Technologies,1681,1000.17,https://www.arrowheadphx.com/ec50-android-3gb-ram-32gb-flash-no-scan-engine-5mp-front-camera-13mp-rear-camera-micro-sd-gms-no-i-o-connector-us-ec500k-01d121-na/,False,"EC50 Android, 3Gb Ram/32Gb Flash, No Scan Engine, 5MP Front Camera, 13MP Rear Camera, Micro Sd, Gms, No I/O Connector, Us",EC500K-01D121-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0003\\/ec50-photography-product-front-facing.tif?im"": ""p\""}""}",
EC55AK-21B223-NA,"EC55 Android, 4Gb Ram/64Gb Flash, SE4100, 5MP Front Camera, 13MP Rear Camera, Micro Sd, E-Sim, Gms, 8-Pin Back Connector, Us | EC55AK-21B223-NA",Zebra Technologies,1698,1221.59,https://www.arrowheadphx.com/ec55-android-4gb-ram-64gb-flash-se4100-5mp-front-camera-13mp-rear-camera-micro-sd-e-sim-gms-8-pin-back-connector-us-ec55ak-21b223-na/,False,"EC55 Android, 4Gb Ram/64Gb Flash, SE4100,  5MP Front Camera, 13MP Rear Camera, Micro Sd, E-Sim, Gms, 8-Pin Back Connector, Us",EC55AK-21B223-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0003\\/ec50-ec55-photography-product-back-facing-2-pin-extended-battery.tif?im"": ""p\""}""}",
FX7500-22320A56-US,"FX7500 Fixed RFID Reader, 2-Port, No Host USB Port, US",Zebra Technologies,2120,1120.79,https://www.arrowheadphx.com/FX7500-22320A56-US/,False,"FX7500 Fixed RFID Reader, 2-Port, No Host USB Port, US",FX7500-22320A56-US,,6.0,,
FX9600-82325A56-WR,"FX9600 Fixed RFID Reader, 8-Port, No Host USB Port, Worldwide",Zebra Technologies,2118,1650.76,https://www.arrowheadphx.com/FX9600-82325A56-WR/,False,"FX9600 Fixed RFID Reader, 8-Port, No Host USB Port, Worldwide",FX9600-82325A56-WR,,6.0,,
LI3608-SR00003VZWW,"LI3608: RUGGED, LINEAR IMAGER, STANDARD RANGE, CORDED, INDUSTRIAL GREEN | LI3608-SR00003VZWW",Zebra Technologies,1680,469.54,https://www.arrowheadphx.com/li3608-rugged-linear-imager-standard-range-corded-industrial-green-li3608-sr00003vzww/,True,"LI3608: RUGGED, LINEAR IMAGER, STANDARD RANGE, CORDED, INDUSTRIAL GREEN| LI3608-SR00003VZWW",LI3608-SR00003VZWW,,3.0,,
LI3678-SR0F003VZWW,"Li3678: Rugged, Linear Imager, Standard Range, Cordless, Fips, Industrial Green, Vibration Motor | LI3678-SR0F003VZWW",Zebra Technologies,1680,599.39,https://www.arrowheadphx.com/li3678-rugged-linear-imager-standard-range-cordless-fips-industrial-green-vibration-motor-li3678-sr0f003vzww/,True,"Li3678: Rugged, Linear Imager, Standard Range, Cordless, Fips, Industrial Green, Vibration Motor| LI3678-SR0F003VZWW",LI3678-SR0F003VZWW,,3.0,,
RFD4030-G00B700-US,"RFD40, Standard, Standard Range Circular Polarized Antenna, UHF RFID Only, Gun, No Imager, 7000mAh Battery, Midnight Black, US, Canada, & Puerto Rico Only, TAA Compliant | RFD4030-G00B700-US",Zebra Technologies,2119,1024.41,https://www.arrowheadphx.com/rfd40-standard-standard-range-circular-polarized-antenna-uhf-rfid-only-gun-no-imager-7000mah-battery-midnight-black-us-canada-puerto-rico-only-taa-compliant-rfd4030-g00b700-us/,True,"RFD40, Standard, Standard Range Circular Polarized Antenna, UHF RFID Only, Gun, No Imager, 7000mAh Battery, Midnight Black, US, Canada, & Puerto Rico Only, TAA Compliant",RFD4030-G00B700-US,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0009\\/rfid40-standard-standalone-photography-product-front-right-side-with-shadow.tif?im"": ""p\""}""}",
RFD8500-5000100-US,"UHF Bluetooth RFID Sled Reader: Gun FF, SE4710 Imager, 4410mAh 3.7Vdc, US freq band| RFD8500-5000100-US | RFD8500-5000100-US",Zebra Technologies,,1725.43,https://www.arrowheadphx.com/rfd8500-rfid-sled-with-imager-rfd8500-5000100-us/,False,"UHF Bluetooth RFID Sled Reader: Gun FF, SE4710 Imager, 4410mAh 3.7Vdc, US freq band| RFD8500-5000100-US",RFD8500-5000100-US,,3.0,"{""\""value\"":\""<img src"": ""\\/product_images\\/map2.png alt=MAP POLICY>\""}""}",
RFD9031-G30G700-US,"RFD90, Premium Plus, Standard Range Circular Polarized Antenna, UHF RFID, Bluetooth, WiFi, Gun, SE4750MR Imager, 7000mAh Battery, Midnight Black/Industrial Green, US, Canada, & Puerto Rico Only, TAA Compliant | RFD9031-G30G700-US",Zebra Technologies,2381,1639.55,https://www.arrowheadphx.com/rfd90-premium-plus-standard-range-circular-polarized-antenna-uhf-rfid-bluetooth-wifi-gun-se4750mr-imager-7000mah-battery-midnight-black-industrial-green-us-canada-puerto-rico-only-taa-compliant-rfd9031-g30g700-us/,True,"RFD90, Premium Plus, Standard Range Circular Polarized Antenna, UHF RFID, Bluetooth, WiFi, Gun, SE4750MR Imager, 7000mAh Battery, Midnight Black/Industrial Green, US, Canada, & Puerto Rico Only, TAA Compliant",RFD9031-G30G700-US,,2.0,,
TC210K-01A222-NA,"WLAN, SE4710, 13MP RFC, 3GB/32GB, 2-PIN I/O CONNECTOR, 5MP FFC, NFC, Basic Battery, GMS, NA | TC210K-01A222-NA",Zebra Technologies,1591,730.29,https://www.arrowheadphx.com/wlan-se4710-13mp-rfc-3gb-32gb-2-pin-i-o-connector-5mp-ffc-nfc-basic-battery-gms-na-tc210k-01a222-na/,False,"WLAN, SE4710, 13MP RFC, 3GB/32GB,  2-PIN I/O CONNECTOR, 5MP FFC, NFC, Basic  Battery, GMS, NA",TC210K-01A222-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0004\\/tc21-photography-product-right-facing.tif?im"": ""p\""}""}",
WLMT0-T22B6ABC2-NA,"TC22; WLAN, Wifi 6, SE4710, 6 Display, 6GB/64GB, 16MP RFC, 5MP FFC, 2-Pin Back I/O, Standard Battery, NFC, BT, USB-C, GMS, NA | WLMT0-T22B6ABC2-NA",Zebra Technologies,1578,1016.05,https://www.arrowheadphx.com/tc22-wlan-wifi-6-se4710-6-display-6gb-64gb-16mp-rfc-5mp-ffc-2-pin-back-i-o-standard-battery-nfc-bt-usb-c-gms-na-wlmt0-t22b6abc2-na/,True,"TC22; WLAN, Wifi 6, SE4710, 6 Display, 6GB/64GB, 16MP RFC, 5MP FFC, 2-Pin Back I/O, Standard Battery, NFC, BT, USB-C, GMS, NA| WLMT0-T22B6ABC2-NA",WLMT0-T22B6ABC2-NA,,3.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0016\\/tc22-tc27-eight-pin-beauty-product-front-left-facing-up-no-shadow.tif?im"": ""p\""}""}",
TC26AK-11A222-NA,"WWAN - Single WAN, GMS, SE4710, NFC, 3GB/32GB, 13 MP RFC, 5MP FFC, 2-pin connector, Basic Battery, NA | TC26AK-11A222-NA",Zebra Technologies,1583,777.47,https://www.arrowheadphx.com/wwan-single-wan-gms-se4710-nfc-3gb-32gb-13-mp-rfc-5mp-ffc-2-pin-connector-basic-battery-na-tc26ak-11a222-na/,False,"WWAN - Single WAN, GMS, SE4710,  NFC, 3GB/32GB, 13 MP RFC, 5MP FFC, 2-pin connector, Basic Battery, NA",TC26AK-11A222-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0014\\/tc26-photography-product-front-facing.png?im"": ""p\""}""}",
WCMTA-T27B6ABC2-NA,"TC27; WWAN, 5G, Wifi 6, SE4710, 6 Display, 6GB/64GB, 16MP RFC, 5MP FFC, 2-Pin Back I/O, Standard Battery, NFC, BT, USB-C, SIM & ESIM, GMS, NA| WCMTA-T27B6ABC2-NA | WCMTA-T27B6ABC2-NA",Zebra Technologies,1586,1053.2,https://www.arrowheadphx.com/tc27-wwan-5g-wifi-6-se4710-6-display-6gb-64gb-16mp-rfc-5mp-ffc-2-pin-back-i-o-standard-battery-nfc-bt-usb-c-sim-esim-gms-na-wcmta-t27b6abc2-na-wcmta-t27b6abc2-na/,True,"TC27; WWAN, 5G, Wifi 6, SE4710, 6 Display, 6GB/64GB, 16MP RFC, 5MP FFC, 2-Pin Back I/O, Standard Battery, NFC, BT, USB-C, SIM & ESIM, GMS, NA| WCMTA-T27B6ABC2-NA",WCMTA-T27B6ABC2-NA,,3.0,,
TC520L-1YLMU7P-NA,"TC52ax, NA, Wi-Fi 6, SE5500 Imager, 4/64GB , PowerPrecision Plus+, Battery, 4150 mAh | TC520L-1YLMU7P-NA",Zebra Technologies,1599,1821.16,https://www.arrowheadphx.com/tc52ax-na-wi-fi-6-se5500-imager-4-64gb-powerprecision-plus-battery-4150-mah-tc520l-1ylmu7p-na/,True,"TC52ax, NA, Wi-Fi 6, SE5500 Imager, 4/64GB , PowerPrecision Plus+, Battery, 4150 mAh",TC520L-1YLMU7P-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0004\\/tc52ax-se4720-photography-product-top-front-left-facing.tif?im"": ""p\""}""}",
TC5301-0T1E4B1000-NA,"TC53, LAN, 6.0 Display, WiFi 6E, 4GB RAM/64GB ROM, SE4720 Imager, 3.5MM Headphone Jack, 8MP FFC, 16MP RFC, Warm Swap, 4400 mAh Standard Battery, GMS, NA only | TC5301-0T1E4B1000-NA",Zebra Technologies,1582,1947.46,https://www.arrowheadphx.com/tc53-lan-6-0-display-wifi-6e-4gb-ram-64gb-rom-se4720-imager-3-5mm-headphone-jack-8mp-ffc-16mp-rfc-warm-swap-4400-mah-standard-battery-gms-na-only-tc5301-0t1e4b1000-na/,True,"TC53, LAN, 6.0 Display, WiFi 6E, 4GB RAM/64GB ROM, SE4720 Imager, 3.5MM Headphone Jack, 8MP FFC, 16MP RFC, Warm Swap, 4400 mAh Standard Battery, GMS, NA only",TC5301-0T1E4B1000-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0012\\/tc53-photography-product-front facing.png?im"": ""p\""}""}",
TC57HO-1XFMU6P-NA,"TC57X Wan Lte For Na, 5Fhd Display, Octa-Core Processor, SE4720 Imager, Nfc, 2 Pin+C4:C6 Rear Electrical Io, 7 Pin Bottom Connector, 4/32 Gb Ufs Ram/Flash, Gms | TC57HO-1XFMU6P-NA",Zebra Technologies,1642,1655.69,https://www.arrowheadphx.com/tc57x-wan-lte-for-na-5fhd-display-octa-core-processor-se4720-imager-nfc-2-pin-c4-c6-rear-electrical-io-7-pin-bottom-connector-4-32-gb-ufs-ram-flash-gms-tc57ho-1xfmu6p-na/,True,"TC57X Wan Lte For Na,  5Fhd Display, Octa-Core Processor, SE4720 Imager, Nfc, 2 Pin+C4:C6 Rear Electrical Io, 7 Pin Bottom Connector, 4/32 Gb Ufs Ram/Flash, Gms",TC57HO-1XFMU6P-NA,,2.0,"{""\""value\"":\""https:\\/\\/www.zebra.com\\/content\\/dam\\/zebra_dam\\/global\\/photography\\/product\\/0014\\/tc57x-front-facing.png?im"": ""p\""}""}",
